Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2020.05.26,Jun-2020,Unprovoked,Spain,Canary Islands,"Famara Beach, Lanzarote",N,Unknown,Unknown,Leisure,Unknown,"Famara Beach, Lanzarote, Canary Islands, Spain","(29.1155588, -13.5563449)",29.1155588,-13.5563449
2020.05.09,May-2020,Unprovoked,United States,California,"Sand Dollar Beach, Santa Cruz County",Y,13h30,Afternoon,Surfing,White,"Sand Dollar Beach, Santa Cruz County, California, United States","(36.9243764, -121.8516977)",36.9243764,-121.8516977
2020.05.08,May-2020,Unprovoked,Australia,Victoria,Southside Beach,N,16h00,Afternoon,Surfing,Unknown,"Southside Beach, Victoria, Australia","(-38.3735964, 144.2748394)",-38.3735964,144.2748394
2020.05.01,May-2020,Unprovoked,United States,California,"Summerland, Santa Barbara County",N,14h30,Afternoon,Swimming,Unknown,"Summerland, Santa Barbara County, California, United States","(34.4220518, -119.5981636)",34.4220518,-119.5981636
2020.04.29,Apr-2020,Not Confirmed,United States,California,"Moonlight Beach, San Diego County",N,17h45,Afternoon,Surfing,Unknown,"Moonlight Beach, San Diego County, California, United States","(33.0478214, -117.2972948)",33.0478214,-117.2972948
2020.04.21,Apr-2020,Unprovoked,Australia,New South Wales,Killick Creek,N,08h00,Morning,Swimming,Unknown,"Killick Creek, New South Wales, Australia","(-31.17578626798342, 152.9691411035534)",-31.17578626798342,152.9691411035534
2020.04.07,Apr-2020,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,10h00,Morning,Surfing,Bull,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2020.04.06.b,Apr-2020,Unprovoked,Australia,Queensland,North West Island,Y,17h30,Afternoon,Swimming,Unknown,"North West Island, Queensland, Australia","(-23.2950882, 151.7078724)",-23.2950882,151.7078724
2020.04.06.a,Apr-2020,Unprovoked,Australia,New South Wales,Wamberal Beach,N,10h00,Morning,Surfing,Unknown,"Wamberal Beach, New South Wales, Australia","(-33.4245269, 151.4538927)",-33.4245269,151.4538927
2020.03.27,Mar-2020,Unprovoked,United States,California,"Pleasure Point, Santa Cruz County",N,Evening,Unknown,Surfing,Unknown,"Pleasure Point, Santa Cruz County, California, United States","(36.9635135, -121.9648975)",36.9635135,-121.9648975
2020.03.22.b,Mar-2020,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,12h20,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2020.03.22.a,Mar-2020,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,10h50,Morning,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2020.03.21,Mar-2020,Unprovoked,Australia,Queensland,Cairns,N,Midday,Unknown,Unknown,Unknown,"Cairns, Queensland, Australia","(-16.9203476, 145.7709529)",-16.9203476,145.7709529
