Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
1998.01.28.R,Jan-1998,Not Confirmed,Australia,New South Wales,Whale Beach,U,20h00,Evening,Fishing,Unknown,"Whale Beach, New South Wales, Australia","(-33.6117385, 151.3298927)",-33.6117385,151.3298927
1998.01.28.a,Jan-1998,Unprovoked,New Caledonia,South Province,l'Anse-Vata,N,Unknown,Unknown,Surfing,Unknown,"l'Anse-Vata, South Province, New Caledonia","(-22.302799, 166.4421637)",-22.302799,166.4421637
1998.01.25.b,Jan-1998,Unprovoked,Reunion,Grand'Anse,Grand'Anse,Y,Mid afternoon,Afternoon,Leisure,Unknown,"Grand'Anse, Grand'Anse, Reunion","(-21.3687188, 55.5469899)",-21.3687188,55.5469899
1998.01.25.a,Jan-1998,Unprovoked,South Africa,Eastern Cape Province,East London,N,Unknown,Unknown,Surfing,Unknown,"East London, Eastern Cape Province, South Africa","(-33.0291582, 27.8545867)",-33.0291582,27.8545867
1998.01.17,Jan-1998,Unprovoked,Australia,South Australia,Middleton Beach,N,Afternoon,Afternoon,Surfing,Unknown,"Middleton Beach, South Australia, Australia","(-35.50737720000001, 138.7094399)",-35.50737720000001,138.7094399
1998.01.14,Jan-1998,Unprovoked,Mozambique,Maputo Province,Ponta do Ouro,N,13h15,Afternoon,Surfing,Unknown,"Ponta do Ouro, Maputo Province, Mozambique","(-26.8427388, 32.8859972)",-26.8427388,32.8859972
1998.00.00.c,Jan-1998,Unprovoked,South Africa,Eastern Cape Province,Hole in the Wall Beach,Y,Unknown,Unknown,Surfing,Unknown,"Hole in the Wall Beach, Eastern Cape Province, South Africa","(-32.0350999, 29.1124823)",-32.0350999,29.1124823
1998.00.00.b,Jan-1998,Unprovoked,Reunion,Beaufonds,Beaufonds,Y,Unknown,Unknown,Diving,Unknown,"Beaufonds, Beaufonds, Reunion","(-21.0473392, 55.7231123)",-21.0473392,55.7231123
1998.00.00.a,Jan-1998,Unprovoked,United States,Virginia,"Rudee Inlet, Virginia Beach",N,Unknown,Unknown,Diving,Tiger,"Rudee Inlet, Virginia Beach, Virginia, United States","(36.8298687, -75.97081639999999)",36.8298687,-75.97081639999999
1997.12.28.b,Dec-1997,Unprovoked,South Africa,Western Cape Province,Cape Town,Y,14h00,Afternoon,Fishing,White,"Cape Town, Western Cape Province, South Africa","(-33.9248685, 18.4240553)",-33.9248685,18.4240553
1997.12.28.a,Dec-1997,Unprovoked,South Africa,Eastern Cape Province,St. Francis Bay,N,Unknown,Unknown,Surfing,Unknown,"St. Francis Bay, Eastern Cape Province, South Africa","(-34.1605375, 24.824107)",-34.1605375,24.824107
1997.12.25.b,Dec-1997,Not Confirmed,United States,Florida,"Fort Lauderdale, Broward County",U,Unknown,Unknown,Unknown,Unknown,"Fort Lauderdale, Broward County, Florida, United States","(26.1224386, -80.13731740000001)",26.1224386,-80.13731740000001
1997.12.25.a,Dec-1997,Unprovoked,United States,Florida,"Hollywood Beach, Broward County",N,Unknown,Unknown,Swimming,Unknown,"Hollywood Beach, Broward County, Florida, United States","(26.0086787, -80.1170355)",26.0086787,-80.1170355
1997.11.09,Nov-1997,Unprovoked,Australia,Western Australia,Albany,N,Morning,Unknown,Diving,White,"Albany, Western Australia, Australia","(-35.0268148, 117.8837114)",-35.0268148,117.8837114
1997.11.05.R,Nov-1997,Unprovoked,United States,Florida,Florida,N,Mid morning,Morning,Swimming,Unknown,"Florida, Florida, United States","(27.6648274, -81.5157535)",27.6648274,-81.5157535
1997.11.05,Nov-1997,Not Confirmed,Australia,New South Wales,Botany Bay?,U,Unknown,Unknown,Unknown,Unknown,"Botany Bay?, New South Wales, Australia","(-33.9930374, 151.175278)",-33.9930374,151.175278
1997.10.28.b,Oct-1997,Unprovoked,Australia,Western Australia,"Cottesloe Beach, Perth",N,Unknown,Unknown,Surfing,White,"Cottesloe Beach, Perth, Western Australia, Australia","(-31.9938622, 115.7510477)",-31.9938622,115.7510477
1997.10.28.a,Oct-1997,Unprovoked,United States,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",N,07h20,Morning,Surfing,Tiger,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island, Hawaii, United States","(22.0097282, -159.7769751)",22.0097282,-159.7769751
1997.10.24,Oct-1997,Unprovoked,United States,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",N,17h15,Afternoon,Surfing,Blacktip,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County, Florida, United States","(27.4820331, -80.3016686)",27.4820331,-80.3016686
1997.10.21,Oct-1997,Unprovoked,United States,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",N,18h00,Evening,Surfing,Unknown,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County, Florida, United States","(27.4820331, -80.3016686)",27.4820331,-80.3016686
1997.10.11.R,Oct-1997,Not Confirmed,South Africa,Eastern Cape Province,Port Alfred,N,Unknown,Unknown,Fishing,Unknown,"Port Alfred, Eastern Cape Province, South Africa","(-33.5864065, 26.8851448)",-33.5864065,26.8851448
1997.10.04,Oct-1997,Unprovoked,United States,Florida,"Daytona Beach, Volusia County",N,08h30,Morning,Swimming,Unknown,"Daytona Beach, Volusia County, Florida, United States","(29.2108147, -81.0228331)",29.2108147,-81.0228331
1997.09.16,Sep-1997,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Y,Unknown,Unknown,Swimming,Unknown,"Boa Viagem, Recife, Pernambuco, Brazil","(-8.1317303, -34.902409)",-8.1317303,-34.902409
1997.09.09,Sep-1997,Unprovoked,United States,Florida,Volusia County,N,17h15,Afternoon,Surfing,Unknown,"Volusia County, Florida, United States","(29.0279842, -81.0754657)",29.0279842,-81.0754657
1997.09.08,Sep-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,Evening,Unknown,Surfing,Blacktip,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.09.06,Sep-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,15h20,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.30,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,13h00,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.27,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,11h20,Morning,Wading,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.24,Aug-1997,Unprovoked,United States,California,Clam Beach,N,12h30,Afternoon,Surfing,White,"Clam Beach, California, United States","(40.99472, -124.11083)",40.99472,-124.11083
1997.08.14.b,Aug-1997,Not Confirmed,Mexico,Quintana Roo,Cozumel Island,U,Unknown,Unknown,Diving,Unknown,"Cozumel Island, Quintana Roo, Mexico","(20.4229839, -86.9223432)",20.4229839,-86.9223432
1997.08.14.a,Aug-1997,Unprovoked,Mexico,Quintana Roo,Cozumel Island,Y,Unknown,Unknown,Diving,Tiger,"Cozumel Island, Quintana Roo, Mexico","(20.4229839, -86.9223432)",20.4229839,-86.9223432
1997.08.11.c,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,14h16,Afternoon,Swimming,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.11.b,Aug-1997,Unprovoked,Egypt,Red Sea,Safaga,N,Unknown,Unknown,Fishing,Unknown,"Safaga, Red Sea, Egypt","(26.7500171, 33.9359756)",26.7500171,33.9359756
1997.08.11.a,Aug-1997,Unprovoked,Egypt,Red Sea,Safaga,Y,Unknown,Unknown,Fishing,Whitetip,"Safaga, Red Sea, Egypt","(26.7500171, 33.9359756)",26.7500171,33.9359756
1997.08.10,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,11h48,Morning,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.09,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,17h15,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.05,Aug-1997,Unprovoked,United States,Texas,"East Beach, Galveston",N,Unknown,Unknown,Wading,Unknown,"East Beach, Galveston, Texas, United States","(29.3171995, -94.7543466)",29.3171995,-94.7543466
1997.08.04,Aug-1997,Unprovoked,United States,Florida,"Carysfort Lighthouse, Key Largo, Monroe County",N,Unknown,Unknown,Fishing,Unknown,"Carysfort Lighthouse, Key Largo, Monroe County, Florida, United States","(25.0865151, -80.4472802)",25.0865151,-80.4472802
1997.08.02.b,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,15h45,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.08.02.a,Aug-1997,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,09h15,Morning,Wading,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1997.07.27,Jul-1997,Unprovoked,Australia,Queensland,Maroochydore Beach,N,14h25,Afternoon,Surfing,Unknown,"Maroochydore Beach, Queensland, Australia","(-26.65447, 153.1036287)",-26.65447,153.1036287
1997.07.21,Jul-1997,Unprovoked,South Africa,Eastern Cape Province,"Breezy Point, Ntlonyana",Y,12h45,Afternoon,Surfing,White,"Breezy Point, Ntlonyana, Eastern Cape Province, South Africa","(-31.2030556, 29.1)",-31.2030556,29.1
1997.07.17,Jul-1997,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",N,Unknown,Unknown,Surfing,Unknown,"Boa Viagem, Recife, Pernambuco, Brazil","(-8.1317303, -34.902409)",-8.1317303,-34.902409
1997.07.14,Jul-1997,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,Night,Unknown,Surfing,Blacktip,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
1997.07.12,Jul-1997,Unprovoked,Okinawa,Miyako,Hirara,Y,Unknown,Unknown,Fishing,White,"Hirara, Miyako, Okinawa","(24.8218333, 125.3137005)",24.8218333,125.3137005
1997.07.02.R,Jul-1997,Unprovoked,Brazil,Pernambuco,Paiva,N,Unknown,Unknown,Surfing,Unknown,"Paiva, Pernambuco, Brazil","(-8.2597418, -34.946528)",-8.2597418,-34.946528
1997.06.24,Jun-1997,Unprovoked,United States,Hawaii,"Sunset Beach, Oahu",N,23h00,Evening,Diving,Unknown,"Sunset Beach, Oahu, Hawaii, United States","(21.6741725, -158.0402178)",21.6741725,-158.0402178
1997.06.15,Jun-1997,Unprovoked,Fiji,Taveuni,Garden Island Resort,N,14h30,Afternoon,Diving,Tiger,"Garden Island Resort, Taveuni, Fiji","(-16.7910099, -179.9968719)",-16.7910099,-179.9968719
1997.06.09,Jun-1997,Unprovoked,United States,Florida,Palm Beach County,N,18h00,Evening,Surfing,Spinner,"Palm Beach County, Florida, United States","(26.6514503, -80.2767327)",26.6514503,-80.2767327
1997.06.07,Jun-1997,Unprovoked,Brazil,Rio de Janeiro,"Copacabana, Rio de Janeiro",U,Unknown,Unknown,Leisure,Unknown,"Copacabana, Rio de Janeiro, Rio de Janeiro, Brazil","(-22.9694417, -43.1868448)",-22.9694417,-43.1868448
1997.06.02,Jun-1997,Unprovoked,United States,Florida,"Daytona Beach Shores, Volusia County",N,10h25,Morning,Surfing,Spinner,"Daytona Beach Shores, Volusia County, Florida, United States","(29.1760933, -80.9828323)",29.1760933,-80.9828323
1997.05.31.c,May-1997,Unprovoked,United States,Florida,Weeki Wachee,N,Morning,Unknown,Fishing,Unknown,"Weeki Wachee, Florida, United States","(28.5155513, -82.5728769)",28.5155513,-82.5728769
1997.05.31.b,May-1997,Unprovoked,United States,Florida,"Flagler Beach, Flagler County",N,11h00,Morning,Surfing,Tiger,"Flagler Beach, Flagler County, Florida, United States","(29.4749754, -81.1270035)",29.4749754,-81.1270035
1997.05.31.a,May-1997,Unprovoked,United States,Florida,"Flagler Beach, Flagler County",N,11h00,Morning,Surfing,Tiger,"Flagler Beach, Flagler County, Florida, United States","(29.4749754, -81.1270035)",29.4749754,-81.1270035
1997.05.26,May-1997,Unprovoked,Bahamas,Abaco Islands,Powell Cay,N,Unknown,Unknown,Fishing,Unknown,"Powell Cay, Abaco Islands, Bahamas","(26.9081888, -77.47736739999999)",26.9081888,-77.47736739999999
1997.05.17,May-1997,Unprovoked,Bahamas,Abaco Islands,Walkers Cay,N,Morning,Unknown,Fishing,Unknown,"Walkers Cay, Abaco Islands, Bahamas","(26.3555029, -77.1485163)",26.3555029,-77.1485163
1997.04.20,Apr-1997,Unprovoked,Brazil,Rio de Janeiro,"Manguinhos, Ilha Feia, Búzios",N,Unknown,Unknown,Surfing,White,"Manguinhos, Ilha Feia, Búzios, Rio de Janeiro, Brazil","(-22.7238462, -41.9227479)",-22.7238462,-41.9227479
1997.02.28.b,Feb-1997,Unprovoked,Australia,Queensland,Surfers Paradise Beach,N,Unknown,Unknown,Swimming,Unknown,"Surfers Paradise Beach, Queensland, Australia","(-27.9992435, 153.4314575)",-27.9992435,153.4314575
1997.02.28.a,Feb-1997,Unprovoked,Australia,Queensland,Whitsunday Passage,N,Midday,Unknown,Diving,Tiger,"Whitsunday Passage, Queensland, Australia","(-20.18624248584114, 148.7268545919905)",-20.18624248584114,148.7268545919905
1997.02.21,Feb-1997,Unprovoked,United States,Hawaii,"Sunset Beach, O'ahu",U,Unknown,Unknown,Unknown,Unknown,"Sunset Beach, O'ahu, Hawaii, United States","(21.6741725, -158.0402178)",21.6741725,-158.0402178
1997.02.20,Feb-1997,Unprovoked,Reunion,L'Etang-Sale,L'Etang-Sale,N,Unknown,Unknown,Unknown,Unknown,"L'Etang-Sale, L'Etang-Sale, Reunion","(-21.2641764, 55.3641515)",-21.2641764,55.3641515
1997.02.03,Feb-1997,Not Confirmed,Australia,New South Wales,"Iron Cove, Sydney",N,Unknown,Unknown,Rowing,Unknown,"Iron Cove, Sydney, New South Wales, Australia","(-33.8642907, 151.1583441)",-33.8642907,151.1583441
1997.01.25,Jan-1997,Unprovoked,Australia,Queensland,"Whitehaven Beach, Whitsundays Island",N,11h00 / 11h30,Morning,Diving,Unknown,"Whitehaven Beach, Whitsundays Island, Queensland, Australia","(-20.2824324, 149.038854)",-20.2824324,149.038854
1997.01.20,Jan-1997,Unprovoked,Australia,Western Australia,Geraldton,Y,18h00,Evening,Surfing,Tiger,"Geraldton, Western Australia, Australia","(-28.7761346, 114.611295)",-28.7761346,114.611295
1997.01.03.a,Jan-1997,Unprovoked,Reunion,la Pointe-au-Sel,la Pointe-au-Sel,Y,Unknown,Unknown,Fishing,Bull,"la Pointe-au-Sel, la Pointe-au-Sel, Reunion","(-21.2030787, 55.28100509999999)",-21.2030787,55.28100509999999
1997.01.01,Jan-1997,Not Confirmed,Australia,Victoria,"Seal Rocks, Phillip Island",N,Unknown,Unknown,Unknown,White,"Seal Rocks, Phillip Island, Victoria, Australia","(-38.4898703, 145.2038278)",-38.4898703,145.2038278
1996.12.29,Dec-1996,Unprovoked,Australia,Queensland,Coolum Beach,U,18h00,Evening,Surfing,Unknown,"Coolum Beach, Queensland, Australia","(-26.5291461, 153.0909772)",-26.5291461,153.0909772
1996.12.10,Dec-1996,Unprovoked,South Africa,Eastern Cape Province,Sardina Bay,N,16h15,Afternoon,Surfing,White,"Sardina Bay, Eastern Cape Province, South Africa","(-34.0309924, 25.4986324)",-34.0309924,25.4986324
1996.12.00.b,Dec-1996,Unprovoked,New Caledonia,New Caledonia,New Caledonia,Y,Unknown,Unknown,Fishing,Unknown,"New Caledonia, New Caledonia, New Caledonia","(-20.904305, 165.618042)",-20.904305,165.618042
1996.12.00.a,Dec-1996,Unprovoked,New Caledonia,South Province,L'llot Maetre,N,Unknown,Unknown,Unknown,Unknown,"L'llot Maetre, South Province, New Caledonia","(-21.7482006, 166.1783739)",-21.7482006,166.1783739
1996.11.29.a,Nov-1996,Unprovoked,United States,California,"Salmon Creek Beach, Sonoma County",N,08h30,Morning,Surfing,White,"Salmon Creek Beach, Sonoma County, California, United States","(38.3592396, -123.0682435)",38.3592396,-123.0682435
1996.11.18,Nov-1996,Unprovoked,United States,Florida,"Coral Cove Park, Palm Beach County",N,17h00,Afternoon,Surfing,Unknown,"Coral Cove Park, Palm Beach County, Florida, United States","(26.9634451, -80.0788305)",26.9634451,-80.0788305
1996.10.28.b,Oct-1996,Unprovoked,Brazil,Pernambuco,Barra de Jangada,N,Unknown,Unknown,Surfing,Unknown,"Barra de Jangada, Pernambuco, Brazil","(-8.2216764, -34.9451498)",-8.2216764,-34.9451498
1996.10.28.a,Oct-1996,Unprovoked,Brazil,Pernambuco,Barra de Jangada,N,Unknown,Unknown,Surfing,Unknown,"Barra de Jangada, Pernambuco, Brazil","(-8.2216764, -34.9451498)",-8.2216764,-34.9451498
1996.10.09,Oct-1996,Unprovoked,Okinawa,Miyako Island,Boragawa Beach,Y,Unknown,Unknown,Diving,Unknown,"Boragawa Beach, Miyako Island, Okinawa","(24.7673666, 125.3246769)",24.7673666,125.3246769
1996.10.05.,Oct-1996,Unprovoked,United States,California,"Dillon Beach, Marin County",N,13h00,Afternoon,Surfing,White,"Dillon Beach, Marin County, California, United States","(38.2507515, -122.9652768)",38.2507515,-122.9652768
1996.10.03.b,Oct-1996,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,08h30,Morning,Surfing,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
1996.10.03.a,Oct-1996,Unprovoked,United States,California,"North Salmon Creek Beach, Sonoma County",N,07h19,Morning,Surfing,White,"North Salmon Creek Beach, Sonoma County, California, United States","(38.3592396, -123.0682435)",38.3592396,-123.0682435
1996.10.00,Oct-1996,Unprovoked,Brazil,Pernambuco,Pernambuco,N,Unknown,Unknown,Unknown,Unknown,"Pernambuco, Pernambuco, Brazil","(-8.4116316,-37.5919699)",-8.4116316,-37.5919699
1996.09.18,Sep-1996,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,13h37,Afternoon,Swimming,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1996.09.06.b,Sep-1996,Unprovoked,New Zealand,Chatham Islands,Waihere Bay,N,10h00,Morning,Diving,White,"Waihere Bay, Chatham Islands, New Zealand","(-44.2833333, -176.25)",-44.2833333,-176.25
1996.09.06.a,Sep-1996,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,12h15,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1996.09.02.b,Sep-1996,Unprovoked,United States,Florida,"Behune Beach, Volusia County",N,18h05,Evening,Surfing,Unknown,"Behune Beach, Volusia County, Florida, United States","(28.941441, -80.844768)",28.941441,-80.844768
1996.09.02.a,Sep-1996,Unprovoked,United States,Florida,"Bethune Beach, Volusia County",N,13h25,Afternoon,Surfing,Unknown,"Bethune Beach, Volusia County, Florida, United States","(28.941441, -80.844768)",28.941441,-80.844768
1996.09.01.b,Sep-1996,Not Confirmed,United States,South Carolina,"Garden City Beach, Horry County",U,Afternoon,Afternoon,Surfing,Unknown,"Garden City Beach, Horry County, South Carolina, United States","(33.5929472, -79.0086464)",33.5929472,-79.0086464
1996.09.01.a,Sep-1996,Provoked,South Africa,KwaZulu-Natal,Hibberdene,N,07h19,Morning,Fishing,White,"Hibberdene, KwaZulu-Natal, South Africa","(-30.571879, 30.5724824)",-30.571879,30.5724824
1996.08.29,Aug-1996,Unprovoked,United States,Hawaii,"Paukukalo, Maui",N,16h00,Afternoon,Surfing,Tiger,"Paukukalo, Maui, Hawaii, United States","(20.9086111, -156.4877778)",20.9086111,-156.4877778
1996.08.13,Aug-1996,Unprovoked,United States,California,"Bird Rock, Tomales Point",N,11h15,Morning,Diving,White,"Bird Rock, Tomales Point, California, United States","(38.2143777, -122.974766)",38.2143777,-122.974766
1996.08.11,Aug-1996,Unprovoked,United States,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",N,14h00,Afternoon,Fishing,Unknown,"Bayshore Garden, Sarasota Bay, Sarasota County, Florida, United States","(27.372852, -82.560894)",27.372852,-82.560894
1996.07.26,Jul-1996,Unprovoked,United States,Florida,"Wiggins Pass, Collier County",N,19h30,Evening,Surfing,Unknown,"Wiggins Pass, Collier County, Florida, United States","(26.2943741, -81.8058381)",26.2943741,-81.8058381
1996.07.23.b,Jul-1996,Unprovoked,Okinawa,Miyako,Hirara City,Y,Unknown,Unknown,Swimming,White,"Hirara City, Miyako, Okinawa","(24.8055336, 125.2810637)",24.8055336,125.2810637
1996.07.23.a,Jul-1996,Unprovoked,Egypt,South Sinai,Ras Mohammed,N,18h00,Evening,Diving,Whitetip,"Ras Mohammed, South Sinai, Egypt","(27.7420043, 34.2347743)",27.7420043,34.2347743
1996.07.21,Jul-1996,Unprovoked,United States,Massachusetts,"Truro (Cape Cod), Barnstable County",N,Unknown,Unknown,Swimming,Unknown,"Truro (Cape Cod), Barnstable County, Massachusetts, United States","(42.0031966, -70.053449)",42.0031966,-70.053449
1996.07.20,Jul-1996,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,13h30,Afternoon,Swimming,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1996.07.14,Jul-1996,Unprovoked,United States,Hawaii,"Nakalele Point, Maui",U,Unknown,Unknown,Unknown,Unknown,"Nakalele Point, Maui, Hawaii, United States","(21.0271397, -156.5885569)",21.0271397,-156.5885569
1996.07.10,Jul-1996,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,13h45,Afternoon,Unknown,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
1996.07.04.b,Jul-1996,Unprovoked,United States,Florida,"Public Beach, Siesta Key, Sarasota County",N,14h00,Afternoon,Surfing,Unknown,"Public Beach, Siesta Key, Sarasota County, Florida, United States","(27.2761112, -82.5690465)",27.2761112,-82.5690465
1996.07.04.a,Jul-1996,Unprovoked,Bahamas,Cat Cay,Cat Cay,N,Unknown,Unknown,Diving,Unknown,"Cat Cay, Cat Cay, Bahamas","(25.5333333, -79.2833333)",25.5333333,-79.2833333
1996.06.25,Jun-1996,Unprovoked,United States,South Carolina,"Fripp Island, Beaufort County",N,Afternoon,Afternoon,Surfing,Unknown,"Fripp Island, Beaufort County, South Carolina, United States","(32.315928, -80.48364409999999)",32.315928,-80.48364409999999
1996.06.06,Jun-1996,Unprovoked,Australia,Victoria,"Suicide Point, Point Leo",N,17h30,Afternoon,Surfing,White,"Suicide Point, Point Leo, Victoria, Australia","(-38.4208351, 145.0752536)",-38.4208351,145.0752536
1996.06.04,Jun-1996,Unprovoked,South Africa,KwaZulu-Natal,LaMercy,N,Unknown,Unknown,Surfing,Unknown,"LaMercy, KwaZulu-Natal, South Africa","(-29.6421517, 31.1280781)",-29.6421517,31.1280781
1996.05.28,May-1996,Unprovoked,South Africa,Western Cape Province,"The Steps, Wilderness",N,14h45,Afternoon,Surfing,White,"The Steps, Wilderness, Western Cape Province, South Africa","(-33.9940082, 22.5748481)",-33.9940082,22.5748481
1996.05.24,May-1996,Not Confirmed,Australia,New South Wales,Bondi Beach,Y,Unknown,Unknown,Diving,Unknown,"Bondi Beach, New South Wales, Australia","(-33.8914755, 151.2766845)",-33.8914755,151.2766845
1996.05.18,May-1996,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",N,13h40,Afternoon,Surfing,Unknown,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
1996.05.10,May-1996,Unprovoked,South Korea,South Korea,South Korea,Y,11h00,Morning,Diving,Unknown,"South Korea, South Korea, South Korea","(35.1799528,129.0752365)",35.1799528,129.0752365
1996.05.07,May-1996,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",N,11h06,Morning,Surfing,Spinner,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
1996.04.28.b,Apr-1996,Unprovoked,United States,Hawaii,"La'ie Point, O'ahu",U,Unknown,Unknown,Unknown,Unknown,"La'ie Point, O'ahu, Hawaii, United States","(21.6482858, -157.9225549)",21.6482858,-157.9225549
1996.04.25.b,Apr-1996,Unprovoked,Australia,New South Wales,Mona Vale,N,Unknown,Unknown,Swimming,Wobbegong,"Mona Vale, New South Wales, Australia","(-33.6792734, 151.3027199)",-33.6792734,151.3027199
1996.04.25.a,Apr-1996,Unprovoked,Australia,New South Wales,Mona Vale,N,Unknown,Unknown,Swimming,Wobbegong,"Mona Vale, New South Wales, Australia","(-33.6792734, 151.3027199)",-33.6792734,151.3027199
1996.04.07,Apr-1996,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Y,Unknown,Unknown,Swimming,Unknown,"Boa Viagem, Recife, Pernambuco, Brazil","(-8.1317303, -34.902409)",-8.1317303,-34.902409
1996.03.05,Mar-1996,Unprovoked,Australia,Queensland,Heron Island,N,07h00,Morning,Swimming,Tiger,"Heron Island, Queensland, Australia","(-23.4422976, 151.9148004)",-23.4422976,151.9148004
1996.03.00,Mar-1996,Unprovoked,Australia,New South Wales,Lord Howe Island,N,Unknown,Unknown,Fishing,Unknown,"Lord Howe Island, New South Wales, Australia","(-31.5553263, 159.0821211)",-31.5553263,159.0821211
1996.02.26,Feb-1996,Unprovoked,Australia,New South Wales,"Charles Street Wharf, Parramatta River",N,Night,Unknown,Diving,Copper,"Charles Street Wharf, Parramatta River, New South Wales, Australia","(-33.8160398, 151.0089043)",-33.8160398,151.0089043
1996.02.19.R,Feb-1996,Provoked,United States,Missouri,St. Louis,N,Unknown,Unknown,Fishing,Tiger,"St. Louis, Missouri, United States","(38.6270025, -90.19940419999999)",38.6270025,-90.1994042
1996.02.10.c,Feb-1996,Unprovoked,Papua New Guinea,Madang Province,Madang,Y,Unknown,Unknown,Unknown,Unknown,"Madang, Madang Province, Papua New Guinea","(-5.2218841, 145.7856324)",-5.2218841,145.7856324
1996.02.10.b,Feb-1996,Unprovoked,Papua New Guinea,Madang Province,Madang,N,Unknown,Unknown,Unknown,Unknown,"Madang, Madang Province, Papua New Guinea","(-5.2218841, 145.7856324)",-5.2218841,145.7856324
1996.02.10.a,Feb-1996,Unprovoked,Papua New Guinea,Madang Province,Madang,Y,Unknown,Unknown,Diving,Unknown,"Madang, Madang Province, Papua New Guinea","(-5.2218841, 145.7856324)",-5.2218841,145.7856324
1996.02.05,Feb-1996,Not Confirmed,Dominican Republic,Puerta Plata,Puerta Plata,Y,Unknown,Unknown,Unknown,Unknown,"Puerta Plata, Puerta Plata, Dominican Republic","(19.7807686, -70.6871091)",19.7807686,-70.6871091
1996.02.04,Feb-1996,Unprovoked,Australia,New South Wales,"Ned's Beach, Lord Howe Island",N,Afternoon,Afternoon,Swimming,Unknown,"Ned's Beach, Lord Howe Island, New South Wales, Australia","(-31.5180508, 159.0648906)",-31.5180508,159.0648906
